PIN,geom,PROPERTYHOUSENUM__asmt,PROPERTYFRACTION__asmt,PROPERTYADDRESS__asmt,PROPERTYCITY__asmt,PROPERTYSTATE__asmt,PROPERTYUNIT__asmt,PROPERTYZIP__asmt,MUNIDESC__asmt,SCHOOLDESC__asmt,NEIGHDESC__asmt,OWNERDESC__asmt,CLASSDESC__asmt,USEDESC__asmt,LOTAREA__asmt,RECORDDATE__asmt,SALEDATE__asmt,SALEPRICE__asmt,SALECODE__asmt,SALEDESC__asmt,PREVSALEDATE__asmt,PREVSALEPRICE__asmt,PREVSALEDATE2__asmt,PREVSALEPRICE2__asmt,FAIRMARKETTOTAL__asmt,STYLEDESC__asmt,STORIES__asmt,YEARBLT__asmt,EXTFINISH_DESC__asmt,ROOFDESC__asmt,BASEMENTDESC__asmt,GRADE__asmt,GRADEDESC__asmt,CONDITIONDESC__asmt,CDUDESC__asmt,TOTALROOMS__asmt,BEDROOMS__asmt,FULLBATHS__asmt,HALFBATHS__asmt,HEATINGCOOLINGDESC__asmt,FIREPLACES__asmt,BSMTGARAGE__asmt,FINISHEDLIVINGAREA__asmt,CARDNUMBER__asmt,ALT_ID__asmt,TAXYEAR__asmt
0046M00154000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-80.0017656141053, 40.46515210702], [-80.0014975116094, 40.4651846280479], [-80.001486092818, 40.4650983542083], [-80.0017529368071, 40.4650685130259], [-80.0017656141053, 40.46515210702]]]]}",0, ,ENTERPRISE ST,PITTSBURGH,PA, ,15212,25th Ward - PITTSBURGH,Pittsburgh,WARD 25,CORPORATION,GOVERNMENT,MUNICIPAL GOVERNMENT,2400.0,,05-05-1950,0.0,3,LOVE&AFFECTION,,,,,900.0,,,,,,,,,,,,,,,,,,,,,2019.0
0046L00006000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-80.0042811567023, 40.4670691303998], [-80.0043810396033, 40.4670591264637], [-80.0044077625093, 40.467334292673], [-80.004319529117, 40.4673431521574], [-80.0042811567023, 40.4670691303998]]]]}",0, ,SUFFOLK ST,PITTSBURGH,PA, ,15214,26th Ward - PITTSBURGH,Pittsburgh,WARD 26 - PERRY SOUTH,CORPORATION,GOVERNMENT,MUNICIPAL GOVERNMENT,2500.0,,07-28-1943,0.0,3,LOVE&AFFECTION,,,,,900.0,,,,,,,,,,,,,,,,,,,,,2019.0
0046P00333000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-80.0085430650977, 40.4647392153204], [-80.0085010418229, 40.4646115749392], [-80.0089566396682, 40.4645284441626], [-80.0089990052673, 40.4646528279348], [-80.0085430650977, 40.4647392153204]]]]}",2102, ,LETSCHE ST,PITTSBURGH,PA, ,15214,25th Ward - PITTSBURGH,Pittsburgh,WARD 25,REGULAR,RESIDENTIAL,THREE FAMILY,6615.0,12-11-2006,12-11-2006,10000.0,0,VALID SALE,12-02-2005,1619.0,01-06-2004,50000.0,65800.0,MULTI-FAMILY,2,1900.0,Frame,SHINGLE,Part,C-,AVERAGE -,AVERAGE,AVERAGE,12.0,4.0,3.0,0.0,Central Heat,0.0,0,2554.0,1.0,,2019.0
0046L00212000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-80.0075927462443, 40.4652537534905], [-80.0075535964128, 40.4651313895404], [-80.0078861422561, 40.4650640496861], [-80.0079274445659, 40.4651835357097], [-80.0077467076093, 40.46522148012], [-80.0075927462443, 40.4652537534905]]]]}",2114, ,MOUNTFORD AVE,PITTSBURGH,PA, ,15214,26th Ward - PITTSBURGH,Pittsburgh,WARD 26 - PERRY SOUTH,REGULAR-ETUX OR ET VIR,RESIDENTIAL,SINGLE FAMILY,3900.0,,08-20-1976,15000.0,0,VALID SALE,,,,,47100.0,OLD STYLE,2,1930.0,Frame,SHINGLE,Full,C,AVERAGE,FAIR,FAIR,9.0,4.0,1.0,1.0,Central Heat,0.0,0,2085.0,1.0,,2019.0
0023G00285000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-80.0053310666689, 40.4591437371739], [-80.0053873158256, 40.4590254619788], [-80.0053897607358, 40.4590202183577], [-80.0054588355127, 40.4590392035012], [-80.0054568696813, 40.459043506873], [-80.0054079303353, 40.4591505212385], [-80.0053310666689, 40.4591437371739]]]]}",0, ,FOUNTAIN ST,PITTSBURGH,PA, ,15212,25th Ward - PITTSBURGH,Pittsburgh,WARD 25,CORPORATION,GOVERNMENT,MUNICIPAL GOVERNMENT,860.0,,02-22-1983,0.0,3,LOVE&AFFECTION,,,,,400.0,,,,,,,,,,,,,,,,,,,,,2019.0
0046R00223000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-80.0051037540898, 40.46268010998], [-80.0052212209814, 40.4626585990254], [-80.0052801901585, 40.4628497254311], [-80.0051717367165, 40.4628720948813], [-80.0051037540898, 40.46268010998]]]]}",0, ,CEMETERY ST,PITTSBURGH,PA, ,15214,25th Ward - PITTSBURGH,Pittsburgh,PITTSBURGH URBAN,CORPORATION,COMMERCIAL,COMM AUX BUILDING,2160.0,09-01-2010,09-01-2010,1.0,H,MULTI-PARCEL SA,12-31-1964,0.0,,,600.0,,,,,,,,,,,,,,,,,,,,,2019.0
0046M00074000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-80.0022849779884, 40.4655784924855], [-80.0022752830981, 40.4655169893472], [-80.002283244552, 40.4654324908878], [-80.0027181391191, 40.4653480711713], [-80.0027627461428, 40.4654860517211], [-80.0022849779884, 40.4655784924855]]]]}",0, ,PEEKSKILL ST,PITTSBURGH,PA, ,15214,26th Ward - PITTSBURGH,Pittsburgh,WARD 26 - PERRY SOUTH,CORPORATION,GOVERNMENT,MUNICIPAL GOVERNMENT,6100.0,,06-05-1950,0.0,3,LOVE&AFFECTION,,,,,18100.0,,,,,,,,,,,,,,,,,,,,,2019.0
0023D00016000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-80.0028205902917, 40.4601149216517], [-80.002776288134, 40.4599724053029], [-80.0028500573209, 40.4599611729362], [-80.0028957154464, 40.4601038478335], [-80.0029247753988, 40.4600994136485], [-80.0029858545839, 40.460300138683], [-80.0029331615047, 40.4603100897551], [-80.002869761626, 40.4601070983146], [-80.0028205902917, 40.4601149216517]]]]}",423, ,JAY ST,PITTSBURGH,PA, ,15212,25th Ward - PITTSBURGH,Pittsburgh,WARD 25,CORPORATION,RESIDENTIAL,VACANT LAND,1025.0,10-28-2016,10-28-2016,14387.0,GV,GOVT SALE,09-14-1998,18000.0,05-18-1987,20000.0,500.0,,,,,,,,,,,,,,,,,,,,,2019.0
0023C00009000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-80.0070274285219, 40.4624481121469], [-80.0070339066495, 40.4624001178523], [-80.0073480815622, 40.4624287171457], [-80.0073162529525, 40.4624579196267], [-80.0073019725674, 40.4624742378574], [-80.0071369510012, 40.4624578971874], [-80.0070274285219, 40.4624481121469]]]]}",0, ,BELLEAU ST,PITTSBURGH,PA, ,15214,25th Ward - PITTSBURGH,Pittsburgh,WARD 25,CORPORATION,GOVERNMENT,MUNICIPAL GOVERNMENT,2145.0,,06-05-1950,0.0,3,LOVE&AFFECTION,,,,,900.0,,,,,,,,,,,,,,,,,,,,,2019.0
0046P00322000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-80.0082409797322, 40.4638641256337], [-80.008701542724, 40.4637818369213], [-80.0087200409189, 40.4638376706404], [-80.0082628542191, 40.4639269221633], [-80.0082409797322, 40.4638641256337]]]]}",0, ,LETSCHE ST,PITTSBURGH,PA, ,15214,25th Ward - PITTSBURGH,Pittsburgh,WARD 25,REGULAR-ETAL,RESIDENTIAL,VACANT LAND,3240.0,05-16-2018,05-15-2018,1000.0,14,TIME ON MARKET,09-27-1984,1.0,,,1200.0,,,,,,,,,,,,,,,,,,,,,2019.0
